Age,HomeOwner,Female,Married,HouseholdSize,Income,Education,Church,Undecided
68,1,1,0,1,37,13,1,1
39,1,0,1,3,174,8,1,0
39,1,1,0,1,88,18,0,1
45,1,1,1,5,80,18,1,0
40,1,0,1,4,151,15,0,1
44,1,1,1,5,73,15,0,1
66,1,1,0,1,80,20,0,1
55,1,1,1,2,6,18,0,1
32,1,1,1,5,225,15,0,0
50,1,1,1,3,128,20,0,1
66,1,1,1,6,90,13,1,1
67,1,1,0,1,6,20,1,0
32,1,1,1,7,82,15,1,1
35,1,1,1,3,72,18,0,1
54,1,1,1,2,113,18,0,1
41,1,0,1,5,53,16,0,1
56,1,1,1,2,41,20,1,0
48,0,1,0,1,4,20,0,1
55,0,1,1,4,133,15,0,1
71,0,0,1,2,38,8,1,0
42,1,1,1,4,162,15,1,1
43,1,1,1,4,285,15,0,0
50,1,1,1,4,271,15,1,0
34,1,1,0,2,77,15,0,1
34,1,1,1,3,134,15,0,1
44,1,1,1,4,247,15,0,0
67,1,0,1,6,9,20,1,0
44,1,1,1,7,73,15,1,1
47,0,1,1,3,63,8,0,0
54,1,1,1,6,26,8,0,0
48,1,1,1,2,137,20,0,1
62,1,1,1,2,76,20,0,1
38,1,1,0,1,236,8,0,0
44,0,1,1,2,80,8,0,0
59,1,0,1,2,46.5,20,0,0
54,1,1,1,3,82,16,1,1
40,1,0,1,5,101,15,1,1
53,1,0,1,3,167,20,1,0
33,1,0,1,6,178,15,1,0
45,1,1,1,3,121,18,0,1
49,1,0,0,2,239,18,0,0
48,1,1,1,2,62,18,1,0
63,1,0,1,4,47,20,0,0
50,1,1,1,3,105,8,1,0
57,0,1,1,3,131,8,1,0
49,1,1,0,1,57,20,0,1
30,1,1,1,2,54,15,0,1
54,0,1,0,2,15,8,0,0
44,1,1,0,4,41,12,1,0
46,1,0,1,5,62,15,0,1
50,1,1,1,5,127,18,1,0
47,1,1,1,5,147,15,1,1
47,0,1,1,5,299,12,0,0
56,1,1,1,2,28,20,1,0
30,1,1,1,5,128,12,1,0
32,1,1,1,6,146,15,0,1
40,1,1,1,6,121,12,1,0
36,1,1,1,4,102,9,1,0
47,1,0,1,4,77,18,1,0
59,1,1,0,1,59,20,1,0
46,1,1,1,4,258,15,1,0
42,1,1,1,2,168,15,0,1
55,1,1,1,6,154,10,1,0
53,1,1,1,4,109,18,0,1
35,1,0,1,3,22,18,1,0
38,1,1,1,5,211,15,0,0
40,1,1,1,5,324,8,1,0
63,0,1,1,6,50,16,1,1
50,1,1,1,3,183,18,0,1
50,1,1,1,3,101,20,1,0
70,1,1,1,5,457,16,1,0
43,1,1,0,4,63,20,1,0
45,0,1,1,3,193,15,0,0
64,1,1,1,2,124,20,0,1
57,1,1,0,1,33,8,0,0
54,1,1,1,2,143,20,1,0
54,0,1,0,3,87,18,1,0
46,1,1,1,3,108,20,0,1
52,1,0,1,3,97,20,1,0
40,1,1,1,3,119,15,0,1
32,1,1,1,7,114,12,1,0
40,0,0,1,3,84,8,1,0
48,1,1,1,4,176,20,1,0
51,1,0,1,5,93,20,1,0
47,0,1,0,1,32,8,0,0
47,1,1,1,2,36,18,1,0
37,0,1,1,3,130,9,1,0
65,0,1,0,1,157,20,0,1
66,1,1,0,1,51,20,1,0
69,1,1,1,3,121,20,0,1
60,0,1,1,3,17,8,1,0
40,0,0,0,2,62,18,1,0
41,1,1,1,5,197,13,1,0
52,1,1,0,1,162,20,1,0
61,1,1,1,3,95,20,1,0
53,1,1,1,4,39,20,0,1
52,1,1,1,5,21,16,0,1
45,1,1,1,4,218,18,0,1
58,1,1,1,3,39,20,0,1
59,1,1,1,2,132,16,0,1
37,1,1,1,4,76,18,1,0
62,0,1,1,5,64,8,1,0
31,1,0,1,3,79,15,1,1
46,1,1,1,3,133,9,0,0
48,1,1,1,2,40,18,0,1
52,0,1,1,3,5,12,1,0
34,1,1,1,4,167,15,1,1
44,1,1,1,4,90,12,1,0
59,1,0,1,4,43,20,1,0
50,0,1,1,2,83,20,1,0
39,1,1,1,7,323,8,0,0
33,1,1,1,6,99,12,0,0
42,1,1,1,4,142,18,1,0
52,1,1,1,4,121.5,20,1,0
49,1,1,1,6,102,20,1,0
58,1,0,1,4,14,8,0,0
46,1,1,0,2,88,20,1,0
48,0,0,1,3,17,8,1,0
54,1,0,1,3,175,15,0,0
38,1,1,1,5,58.5,8,1,0
41,0,1,1,5,74,15,0,1
69,1,1,1,2,26,16,0,1
69,0,0,1,2,96,20,0,0
62,1,1,1,4,67.5,20,0,1
55,1,1,1,5,285,10,1,0
33,1,1,1,2,121,15,1,1
50,1,1,1,2,54,10,0,0
45,1,0,1,3,5,20,0,0
48,1,1,1,4,156,8,0,0
45,1,1,1,2,99,8,1,0
47,1,1,1,4,72,15,1,1
57,1,1,0,3,43,20,1,0
46,1,1,1,3,165,20,0,1
59,1,1,1,2,112,20,0,1
43,1,1,1,2,95,12,1,0
48,1,1,1,7,102,9,1,0
48,1,0,1,3,257,15,1,0
44,1,1,1,6,91,15,0,1
45,1,1,1,4,91,9,0,0
50,1,0,1,4,35,8,0,0
59,1,0,0,1,112,13,1,1
51,1,1,1,2,110,16,0,1
41,1,1,1,3,70,20,0,1
45,1,1,1,6,121,15,1,1
64,1,1,1,6,81,20,0,1
33,1,1,0,1,114,18,0,1
45,1,1,1,5,92,8,0,0
50,1,1,1,3,161,20,0,1
37,1,1,1,2,37,15,1,1
58,0,1,1,5,176.5,8,0,0
39,1,0,1,2,92.5,15,1,1
42,0,0,1,3,141,18,0,0
35,1,1,1,2,34,15,1,1
40,0,1,1,5,114,15,0,1
50,1,1,1,4,73,18,0,1
60,1,0,1,5,122,20,1,0
45,1,0,1,3,61,16,1,1
30,1,1,1,3,171,15,1,1
61,1,0,1,3,150,20,0,0
37,1,0,0,1,47,18,1,0
56,0,1,1,3,46,20,1,0
40,1,1,1,4,233,18,1,0
59,1,1,1,4,41.5,20,0,1
63,1,1,1,6,152,20,1,0
47,1,1,1,2,178,20,1,0
66,1,0,1,6,92,20,1,0
48,1,1,1,4,135,15,1,1
63,1,1,1,2,64,20,0,1
49,1,1,1,4,43,18,1,0
50,1,1,1,6,138,18,0,1
57,1,1,0,1,99,20,1,0
57,1,1,1,3,116,20,0,1
51,1,1,1,5,108,16,1,1
60,1,0,1,3,101,20,1,0
37,1,1,1,3,108.5,18,1,0
50,1,1,1,4,99,20,0,1
39,1,1,1,3,131,12,0,0
48,1,1,0,1,17,18,0,1
55,1,1,0,2,66,20,1,0
43,0,1,1,6,115.5,8,1,0
47,1,1,1,4,51,8,1,0
44,0,1,1,3,130,16,0,1
51,1,1,1,2,168,20,1,0
52,1,0,0,1,95,18,1,0
55,1,1,1,4,235,18,0,1
47,1,1,1,4,48,20,0,1
39,1,1,1,3,101,15,0,1
52,1,1,1,2,100,18,1,0
58,1,1,0,1,64.5,8,0,0
67,1,0,1,6,134,13,1,1
47,1,0,1,4,285,15,0,0
45,1,1,1,4,88,18,0,1
46,0,0,1,2,151.5,9,0,0
47,1,0,1,4,247,15,1,0
66,1,0,1,3,15,20,0,0
33,1,1,1,3,215,15,0,0
53,1,0,1,2,213,18,0,0
47,1,1,1,2,172,16,0,1
40,1,1,1,4,115,15,0,1
67,1,1,1,3,59,20,0,1
55,1,0,1,4,46,12,0,0
65,0,0,1,2,6,10,0,0
33,1,1,1,3,314,15,0,0
42,1,1,1,2,59.5,18,1,0
55,1,1,1,4,130,18,1,0
46,1,1,0,2,280,20,1,0
43,1,1,1,2,135,15,1,1
51,1,1,1,4,177,16,1,0
51,1,1,1,4,266,15,0,0
56,0,1,0,1,131,8,0,0
62,1,1,1,5,140,20,0,1
51,1,1,1,5,17,10,0,0
51,1,1,1,5,123,18,0,1
35,1,1,1,5,83,12,0,0
50,1,0,1,6,69,10,1,0
35,1,1,1,3,108,18,0,1
70,1,1,0,2,46,20,0,1
48,0,1,1,4,398,15,1,0
50,1,1,1,6,106,15,1,1
33,1,1,1,4,135,15,1,1
37,1,1,1,6,37,8,0,0
60,1,1,0,1,23,20,1,0
56,1,0,1,3,99,20,0,0
48,1,1,1,2,134,20,0,1
57,1,0,0,2,80,13,1,1
62,1,1,1,4,202,20,0,1
57,1,1,1,2,101,20,0,1
33,1,0,1,3,103,15,0,1
56,1,1,1,6,154,8,0,0
29,1,1,0,1,78,9,0,0
45,1,1,1,5,143,8,0,0
41,0,1,1,5,40,8,0,0
44,0,1,1,4,13,8,1,0
78,1,1,0,1,91,16,0,1
55,1,1,1,5,44,20,1,0
37,1,1,1,4,100,15,1,1
50,0,1,1,4,94,12,0,0
59,1,1,1,2,76,20,1,0
46,0,0,1,2,125.5,8,1,0
51,1,1,1,3,81,20,1,0
47,0,1,1,2,193,15,0,0
55,1,1,0,2,43,20,0,1
44,1,1,1,3,58,20,1,0
46,1,1,0,1,75,18,0,1
64,1,1,1,2,73,20,1,0
34,1,1,1,4,238,18,1,0
62,0,1,0,2,118,8,0,0
48,1,1,1,5,95,16,0,1
60,1,1,0,1,41,20,1,0
39,1,0,1,5,102,15,0,1
68,1,0,1,2,31,20,0,0
34,0,1,1,5,125,15,0,1
43,1,1,0,2,58,12,1,0
60,1,1,1,2,73,8,1,0
49,1,1,1,3,106,18,0,1
49,1,1,1,3,112,20,1,0
68,1,1,1,3,63,20,0,1
41,0,0,1,3,136,18,1,0
38,0,1,1,3,48,15,0,1
51,1,1,0,1,58,20,0,1
44,1,1,0,2,26,8,1,0
49,1,1,0,1,108,18,1,0
59,0,0,1,2,70,20,0,0
45,1,1,1,4,66,12,0,0
45,1,1,1,6,128,15,0,1
57,1,0,1,2,69,20,1,0
66,1,0,1,4,142,20,1,0
56,1,1,1,2,130,20,0,1
45,0,1,1,6,244,12,1,0
41,1,1,1,2,96,20,0,1
74,1,1,1,3,37,13,0,1
37,1,0,0,1,23,8,1,0
57,0,0,1,7,70,20,0,0
48,1,1,1,5,97,16,1,1
35,1,1,1,3,503,15,0,0
36,1,1,1,4,177,15,1,0
43,1,0,1,4,61,18,1,0
57,1,1,1,2,160,18,1,1
50,1,1,1,5,135,15,1,1
47,1,1,1,7,26,12,0,0
53,1,1,1,4,134,20,0,1
55,1,1,1,2,158,20,1,0
33,1,1,1,6,25,15,0,1
38,1,0,1,7,141,18,1,0
57,1,1,1,3,145,8,0,1
70,1,0,1,3,124,20,0,0
51,0,0,0,1,6,8,1,0
38,0,1,1,5,185,18,1,0
37,1,0,0,1,84,18,1,0
41,1,1,1,5,150,18,1,0
58,1,0,1,3,128,8,0,0
50,1,1,1,5,123,15,1,1
42,1,1,1,2,68,20,1,0
47,1,1,1,3,159,15,1,1
33,1,1,1,5,226,15,1,0
74,0,1,0,1,20,20,1,0
52,1,1,1,4,4,8,1,0
34,1,0,1,4,63,15,1,1
43,0,0,1,2,218,15,0,0
49,1,1,0,2,59,18,1,0
69,1,0,1,6,88.5,13,0,1
29,1,1,0,4,71,15,0,1
73,0,0,1,3,57,20,1,0
42,1,1,1,5,152,12,0,0
36,1,1,0,2,41,18,0,1
41,0,1,0,2,31,8,0,0
35,0,1,0,2,38,8,1,0
65,1,1,1,3,114,20,1,0
42,1,1,1,4,246,18,0,1
58,1,0,1,5,108,16,1,1
49,1,1,1,4,70,12,1,0
65,1,1,1,2,62,20,0,1
50,1,0,1,6,127,15,0,1
55,1,1,1,2,101,15,0,1
64,1,1,1,4,86,20,1,0
35,1,1,1,3,100,15,0,1
43,1,1,1,2,140,15,0,1
71,1,1,0,1,19,20,0,1
44,1,1,1,4,5,8,1,0
48,1,1,1,2,80,15,1,1
46,1,1,1,4,142,15,0,1
43,1,1,1,2,40,16,0,1
31,1,1,1,6,214,12,0,0
63,1,1,0,1,213,8,0,0
62,1,1,1,3,48,20,1,0
44,1,1,1,5,321,12,0,0
40,1,1,0,1,33,18,0,1
51,0,1,1,6,123,18,1,0
60,1,1,0,1,65,20,0,1
57,1,0,1,3,22,8,0,0
40,1,1,1,2,27,18,1,0
65,1,1,1,4,88,20,0,1
46,1,1,1,6,127,15,0,1
46,1,0,1,4,175.5,15,1,0
47,1,1,1,2,77,8,1,0
45,1,1,1,4,92,20,1,0
51,1,0,1,2,122,18,0,0
61,1,0,1,6,101,20,0,0
38,1,1,1,2,37,18,0,1
37,1,1,1,6,91,15,0,1
38,1,1,1,4,126,15,1,1
45,1,1,0,1,108,18,0,1
30,1,1,0,3,107,18,0,1
51,1,1,0,2,51,18,0,1
46,1,1,1,4,136,18,1,0
52,1,1,1,4,111,20,1,0
58,1,1,0,3,113,20,1,0
40,1,0,1,5,149,15,1,1
51,1,1,1,5,60,16,0,1
31,1,1,1,6,334,15,0,0
48,1,1,1,5,100,15,0,1
49,1,0,1,5,287,15,1,0
41,1,1,1,5,80,18,0,1
55,1,1,1,6,145,8,1,0
46,0,0,1,4,87,15,1,1
53,1,0,1,5,62,18,0,0
33,1,1,1,5,49,15,1,1
40,1,1,1,5,15,12,1,0
54,1,0,1,3,64,18,0,0
53,1,1,1,6,139,20,0,1
46,1,1,1,3,79,15,0,1
55,0,0,1,3,318,16,0,0
53,1,1,1,6,183,8,0,0
45,1,1,1,3,180,18,1,0
35,1,0,1,3,131,15,0,1
43,1,0,0,1,38,20,0,0
31,1,0,1,7,173,15,0,1
43,1,1,1,5,68,8,0,0
50,1,1,0,1,71,15,0,1
40,1,1,1,4,69,18,1,0
53,1,1,1,5,82,18,1,0
55,1,1,1,6,285,12,0,0
51,0,1,0,5,46,8,1,0
34,0,1,1,3,155,15,1,1
43,1,0,1,2,102,9,1,0
44,1,1,1,6,46,18,1,0
44,1,1,1,3,60,8,1,0
45,0,1,1,5,101,8,1,0
42,1,0,1,7,98,15,0,1
41,1,1,1,3,134,18,0,1
41,1,1,1,2,151,18,1,0
52,1,1,1,6,122,15,1,1
45,1,1,1,5,189,8,1,0
47,1,1,1,3,77,13,0,1
44,1,0,1,5,235,15,0,0
52,1,1,1,4,163,15,0,1
57,1,1,0,2,47,18,0,1
52,1,1,1,6,22,18,0,1
41,1,1,1,3,81,18,0,1
59,1,1,1,2,231,18,1,0
48,0,1,0,1,35,18,1,0
56,0,0,1,4,483,20,1,0
45,1,1,1,3,78,18,1,0
47,1,1,1,7,67,12,1,0
66,1,1,1,5,10,20,0,1
49,1,1,1,5,171,20,1,0
32,1,0,1,6,165,8,1,1
50,1,1,1,4,531,15,0,0
41,1,1,1,6,153,15,0,1
58,1,1,0,4,14,16,1,1
58,1,1,1,3,85,20,0,1
46,0,1,1,3,184,15,1,0
40,1,1,1,5,100,12,0,0
49,1,1,1,4,113,15,1,1
37,1,0,1,4,107,8,1,0
41,1,1,1,2,94,18,0,1
65,1,1,0,1,78.5,20,1,0
48,1,1,1,3,543,20,0,0
59,1,0,1,7,176,13,1,0
38,1,1,1,3,149,15,0,1
39,1,0,1,2,110,18,1,0
42,0,1,1,5,294,15,0,0
61,1,1,1,6,104,20,0,1
33,1,0,1,2,150,12,0,0
55,1,1,1,3,177,18,1,0
47,1,1,1,3,12,20,0,1
54,1,1,1,3,14,20,0,1
37,1,1,1,5,50,15,1,1
51,1,1,1,2,70,20,1,0
55,1,0,1,2,41,18,0,0
56,1,1,1,2,70,15,1,1
40,1,0,1,4,108,12,0,0
52,1,1,0,1,19,20,0,1
52,1,1,0,1,103,18,0,1
45,1,1,1,3,120,18,0,1
52,1,1,1,5,108,15,1,1
39,1,1,1,3,188,15,1,0
44,1,1,1,3,104,20,1,0
50,1,1,1,3,180,20,0,1
53,1,1,1,4,157,18,1,0
33,1,1,1,5,211,12,0,0
43,1,1,1,2,240,18,1,0
41,1,1,1,2,36,8,0,0
63,1,0,0,2,56.5,20,0,0
76,1,1,1,3,166,20,0,1
42,1,1,1,7,133,12,1,0
33,1,0,1,5,263,15,0,0
47,1,0,1,3,43,20,0,0
42,1,0,1,2,77,15,1,1
32,1,1,1,2,189,15,0,0
35,1,1,1,3,153,15,0,1
58,1,1,1,2,74,8,0,0
46,1,1,0,4,120,18,1,0
46,1,1,1,3,134,15,0,1
55,1,1,1,5,80,20,1,0
59,1,1,1,3,75,20,0,1
37,1,1,1,2,187,18,0,1
41,0,1,1,2,108,18,0,1
46,1,1,1,3,89,15,1,1
56,1,1,0,2,45,18,1,0
37,1,1,0,1,151,18,0,1
56,1,0,1,2,74,18,0,0
50,1,1,1,2,89,20,0,1
56,1,0,1,6,48,20,0,0
58,0,1,1,4,60,20,0,1
47,0,1,1,2,19,18,1,0
37,1,1,1,3,141,18,0,1
42,0,1,1,2,97,8,0,0
31,1,1,0,4,88.5,15,1,1
57,1,1,1,3,146,16,0,1
49,1,1,1,6,161,18,0,1
33,1,1,1,4,149,15,1,1
47,1,1,1,4,21,9,0,0
50,1,1,1,2,73,15,0,1
35,1,0,1,3,84,15,1,1
66,1,1,1,5,93,20,0,1
66,1,1,1,5,145,16,1,1
77,1,0,1,3,36,8,1,0
62,1,1,0,2,23,20,0,1
57,1,1,0,4,44,20,0,1
50,0,1,1,7,157,15,1,1
42,1,0,1,5,101,13,0,1
40,1,1,1,2,84,8,1,0
53,1,1,0,1,6,18,0,1
33,1,1,1,3,73,18,1,0
60,1,1,1,3,36,20,1,0
55,1,1,1,7,88,15,1,1
55,0,1,1,2,143,20,0,1
46,1,1,1,3,261,9,1,0
49,1,1,1,4,171,20,0,1
50,1,0,1,4,114,15,0,1
42,1,1,1,4,167,15,0,1
37,1,1,1,4,109,18,1,0
51,1,1,1,5,30,15,0,1
28,1,1,1,4,129,15,0,1
59,0,1,1,2,17.5,8,1,0
54,1,1,1,6,283,20,1,0
34,1,0,1,3,118,15,0,1
45,1,1,1,6,150,18,1,0
49,1,1,1,5,225,15,1,0
32,1,1,1,2,69,18,1,0
57,1,1,1,7,92,16,1,1
48,1,1,0,1,46,18,1,0
35,1,0,1,3,50,18,0,0
48,1,1,0,2,64,12,1,0
45,1,1,1,7,92,20,0,1
36,1,1,1,2,152,15,0,1
34,1,0,1,4,138,15,0,1
40,1,1,1,6,141,12,0,0
56,1,1,1,4,79,20,1,0
52,1,1,0,2,35,18,1,0
48,1,1,1,3,22,8,0,0
57,1,0,0,1,69,20,0,0
74,1,1,1,5,96,20,1,0
44,1,0,1,4,131,15,0,1
35,1,1,0,1,139,18,0,1
67,1,1,1,2,178,20,0,1
38,1,1,1,4,135,12,0,0
32,1,1,1,3,105,18,0,1
38,1,1,0,1,108,18,0,1
47,1,0,1,3,170,9,0,0
40,1,1,1,4,142,18,0,1
56,1,1,1,5,39,16,1,1
51,1,1,1,4,66,18,1,0
51,1,0,1,4,161,18,0,0
79,1,1,0,1,73,20,1,0
61,1,1,1,3,67,10,1,0
64,1,1,1,3,31,20,1,0
70,1,1,1,4,57,20,1,0
67,1,1,0,2,44,20,0,1
71,1,1,1,5,64,16,0,1
39,1,0,0,3,47,18,1,0
79,1,0,1,3,60,20,1,0
41,1,1,1,4,76,15,1,1
39,0,1,1,3,35,8,1,0
38,1,0,1,6,172,12,0,0
44,1,1,1,6,51,13,0,1
45,0,1,1,5,120,12,0,1
49,1,1,1,3,146,9,0,0
56,1,1,1,2,111,20,0,1
61,1,1,1,3,66,20,0,1
43,1,0,1,6,62,16,1,1
30,1,1,1,6,323,15,1,0
66,1,1,1,2,100,8,1,0
53,1,1,1,4,54,12,1,0
45,1,1,1,3,27,18,1,0
46,1,0,1,2,159,18,0,0
64,1,1,0,4,133,20,1,0
67,1,0,1,4,89,20,1,0
56,0,1,1,4,81,20,0,1
45,1,1,1,3,43.5,8,0,0
34,1,1,1,6,154,15,1,1
48,1,0,1,4,64,16,0,1
64,1,1,1,5,77,20,0,1
